[INFO ] [2021-01-27 23:08:06,465] Precondition step 01: Input Username textbox with Admin
[INFO ] [2021-01-27 23:08:10,363] Precondition step 02: Input Password textbox with admin123
[INFO ] [2021-01-27 23:08:10,834] Precondition step 03: Click to Login button
[INFO ] [2021-01-27 23:08:20,410] Add Employee - Step 01: Open Page PIM
[INFO ] [2021-01-27 23:08:22,878] Add Employee - Step 02: Click to add btn
[INFO ] [2021-01-27 23:08:24,320] Add Employee - Step 03: Input to FirstName with Bui
[INFO ] [2021-01-27 23:08:24,693] Add Employee - Step 04:Input to MiddleName with Nhat
[INFO ] [2021-01-27 23:08:24,958] Add Employee - Step 05: Input to LastName with Ha325
[INFO ] [2021-01-27 23:08:25,198] Add Employee - Step 06: Get employee Id
[INFO ] [2021-01-27 23:08:25,286] Add Employee - Step 07: Upload avatar
[INFO ] [2021-01-27 23:08:25,368] Add Employee - Step 08: Click to save btn
[INFO ] [2021-01-27 23:08:29,499] Add Employee - Step 09: Verify fullname header
[INFO ] [2021-01-27 23:08:29,621]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-27 23:08:29,669] Add Employee - Step 10: Verify FirstNameBui
[INFO ] [2021-01-27 23:08:29,771]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-27 23:08:29,771] Add Employee - Step 11: Verify MiddleNameNhat
[INFO ] [2021-01-27 23:08:29,873]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-27 23:08:29,873] Add Employee - Step 12: Verify LastNameHa325
[INFO ] [2021-01-27 23:08:29,964]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-27 23:08:29,964] Add Employee - Step 13: Verify EmployeeID0250
[INFO ] [2021-01-27 23:08:30,057]  -------------------------- PASSED -------------------------- 
